Taxon;I;II;II/III;III;IV;V;VI;VII;VIII;IX;Ordre
Acomys_cahirinus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Acomys_dimidiatus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Acomys_russatus;0;0;0;1;0;0;0;0;0;0;RODENTIA
Allactaga_bullata;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Allactaga_elater;0;0;0.333;0;0.333;0;0;0.333;0;0;RODENTIA
Allactaga_hotsoni;0;0;0.5;0;0.5;0;0;0;0;0;RODENTIA
Allactaga_major;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Allactaga_severtzovi;0;0;0;0;0;0;0;1;0;0;RODENTIA
Allactaga_sibirica;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Allactaga_vinogradovi;0;0;0;0;0;0;0;1;0;0;RODENTIA
Allocricetulus_curtatus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Allocricetulus_eversmanni;0;0;0;0;0;0;0;1;0;0;RODENTIA
Alticola_argentatus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Alticola_lemminus;0;0;0;0;0;0;0;0;0.5;0.5;RODENTIA
Alticola_stoliczkanus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Apodemus_agrarius;0;0;0;0;0;0.25;0.25;0.25;0.25;0;RODENTIA
Apodemus_argenteus;0;0;0;0;0;0.2;0.2;0.2;0.2;0.2;RODENTIA
Apodemus_draco;0;0;0;0;0;0;0.333;0.333;0.333;0;RODENTIA
Apodemus_flavicollis;0;0;0;0;0.333;0;0.333;0;0.333;0;RODENTIA
Apodemus_mystacinus;0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;RODENTIA
Apodemus_peninsulae;0;0;0;0;0;0;0.333;0.333;0.333;0;RODENTIA
Apodemus_ponticus;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Apodemus_speciosus;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Apodemus_sylvaticus;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Apodemus_uralensis;0;0;0;0;0;0;0.25;0.25;0.25;0.25;RODENTIA
Apodemus_witherbyi;0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;RODENTIA
Arvicanthis_niloticus;0;0.5;0.5;0;0;0;0;0;0;0;RODENTIA
Arvicola_amphibius;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Arvicola_sapidus;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Atherurus_macrourus;0.25;0.25;0;0;0;0.25;0.25;0;0;0;RODENTIA
Bandicota_indica;0;0.5;0.5;0;0;0;0;0;0;0;RODENTIA
Belomys_pearsonii;0.333;0.333;0;0;0;0.333;0;0;0;0;RODENTIA
Berylmys_bowersi;0.333;0.333;0;0;0;0.333;0;0;0;0;RODENTIA
Brachiones_przewalskii;0;0;0;0;0;0;0;1;0;0;RODENTIA
Callosciurus_erythraeus;0.25;0.25;0;0;0;0.25;0.25;0;0;0;RODENTIA
Calomyscus_bailwardi;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Cardiocranius_paradoxus;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Castor_fiber;0;0;0;0;0.333;0;0.333;0;0.333;0;RODENTIA
Chionomys_nivalis;0;0;0;0;0.25;0;0.25;0;0.25;0.25;RODENTIA
Chionomys_roberti;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Chiropodomys_gliroides;0.5;0.5;0;0;0;0;0;0;0;0;RODENTIA
Cricetulus_barabensis;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Cricetulus_lama;0;0;0;0;0;0;0;1;0;0;RODENTIA
Cricetulus_longicaudatus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Cricetulus_migratorius;0;0;0;0;0.333;0;0.333;0.333;0;0;RODENTIA
Cricetus_cricetus;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Desmodilliscus_braueri;0;0;0.5;0.5;0;0;0;0;0;0;RODENTIA
Dicrostonyx_torquatus;0;0;0;0;0;0;0;0;0;1;RODENTIA
Dinaromys_bogdanovi;0;0;0;0;0.333;0;0.333;0;0.333;0;RODENTIA
Dipus_sagitta;0;0;0;0;0;0;0;1;0;0;RODENTIA
Dremomys_pernyi;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Dremomys_pyrrhomerus;0;0.5;0;0;0;0.5;0;0;0;0;RODENTIA
Dryomys_nitedula;0;0;0;0;0.333;0;0.333;0.333;0;0;RODENTIA
Eliomys_melanurus;0;0;0.333;0.333;0.333;0;0;0;0;0;RODENTIA
Eliomys_quercinus;0;0;0;0;0.5;0;0.5;0;0;0;RODENTIA
Ellobius_fuscocapillus;0;0;0;0;0.5;0;0;0.5;0;0;RODENTIA
Ellobius_talpinus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Ellobius_tancrei;0;0;0;0;0;0;0;1;0;0;RODENTIA
Eothenomys_melanogaster;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Eothenomys_miletus;0;0;0;0;0;0;1;0;0;0;RODENTIA
Eremodipus_lichtensteini;0;0;0;0;0;0;0;1;0;0;RODENTIA
Euchoreutes_naso;0;0;0;0;0;0;0;1;0;0;RODENTIA
Eutamias_sibiricus;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Gerbillus_andersoni;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Gerbillus_campestris;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Gerbillus_dasyurus;0;0;0.333333333;0.333333333;0.333333333;0;0;0;0;0;RODENTIA
Gerbillus_gerbillus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Gerbillus_henleyi;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
